DateTime,Location,Temperature_C,Humidity_Percent,Pressure_hPa,Pressure_Missing
2025-01-01 00:00:00,Chennai,24.0,94.71996347442106,1012.9,0
2025-01-01 00:00:00,Hyderabad,19.0,88.7457279474852,1015.0,0
2025-01-01 00:00:00,Kolkata,15.0,86.69713639932762,1015.8,0
2025-01-01 00:00:00,Mumbai,22.0,85.73573371041086,1013.0,0
2025-01-01 00:00:00,New_Delhi,10.4,92.27398343475242,1019.2,0
2025-01-01 03:00:00,Chennai,24.8,84.97083781729286,1015.4,0
2025-01-01 03:00:00,Hyderabad,20.6,85.5946678261552,1016.7,0
2025-01-01 03:00:00,Kolkata,16.1,79.2255500328325,1017.6,0
2025-01-01 03:00:00,Mumbai,22.6,85.795575729377,1014.9,0
2025-01-01 03:00:00,New_Delhi,10.0,86.79106734289007,1020.2,0
2025-01-01 06:00:00,Chennai,29.0,69.68555280505707,1015.1,0
2025-01-01 06:00:00,Hyderabad,27.6,47.9819386707884,1015.9,0
2025-01-01 06:00:00,Kolkata,20.6,64.61860815257197,1016.4,0
2025-01-01 06:00:00,Mumbai,30.4,49.6455182941857,1015.4,0
2025-01-01 06:00:00,New_Delhi,13.0,72.64156333060996,1020.9,0
2025-01-01 09:00:00,Chennai,30.0,58.58138510397075,1012.5,0
2025-01-01 09:00:00,Hyderabad,28.6,49.17506433297476,1011.9,0
2025-01-01 09:00:00,Kolkata,23.2,55.85836060319868,1013.1,0
2025-01-01 09:00:00,Mumbai,33.0,46.73192939565313,1012.1,0
2025-01-01 09:00:00,New_Delhi,14.8,70.09075096388064,1017.9,0
2025-01-01 12:00:00,Chennai,30.0,58.58138510397075,1012.5,0
2025-01-01 12:00:00,Hyderabad,27.0,50.98677157890719,1012.1,0
2025-01-01 12:00:00,Kolkata,21.4,61.92008126297963,1013.4,0
2025-01-01 12:00:00,Mumbai,29.4,54.5893740362844,1011.3,0
2025-01-01 12:00:00,New_Delhi,13.0,83.66887270865111,1017.8,0
2025-01-01 15:00:00,Chennai,26.0,84.07244076824206,1014.3,0
2025-01-01 15:00:00,Hyderabad,23.0,63.085678507414855,1015.3,0
2025-01-01 15:00:00,Kolkata,19.2,72.79689586933766,1015.5,0
2025-01-01 15:00:00,Mumbai,26.4,66.25782759838835,1013.4,0
2025-01-01 15:00:00,New_Delhi,10.2,94.78062882988873,1019.6,0
2025-01-01 18:00:00,Chennai,25.6,85.05359376201457,1014.2,0
2025-01-01 18:00:00,Hyderabad,20.4,73.47887549588208,1015.8,0
2025-01-01 18:00:00,Kolkata,17.2,81.47133555590639,1016.2,0
2025-01-01 18:00:00,Mumbai,23.4,77.78185620897757,1014.4,0
2025-01-01 18:00:00,New_Delhi,8.4,100.0,1019.6,0
2025-01-01 21:00:00,Chennai,24.4,89.71497940989825,1012.3,0
2025-01-01 21:00:00,Hyderabad,17.4,84.1728000475239,1014.6,0
2025-01-01 21:00:00,Kolkata,16.4,84.60810750294789,1014.9,0
2025-01-01 21:00:00,Mumbai,21.8,82.05179279343892,1013.2,0
2025-01-01 21:00:00,New_Delhi,10.0,94.77258174880322,1017.9,0
2025-01-02 00:00:00,Chennai,24.0,93.01505522924244,1012.7,0
2025-01-02 00:00:00,Hyderabad,16.2,89.6666795922352,1014.9,0
2025-01-02 00:00:00,Kolkata,13.4,92.44713118035172,1015.7,0
2025-01-02 00:00:00,Mumbai,20.6,88.87450414906138,1012.6,0
2025-01-02 00:00:00,New_Delhi,10.0,94.77258174880322,1017.5,0
2025-01-02 03:00:00,Chennai,24.6,91.37426421535667,1015.2,0
2025-01-02 03:00:00,Hyderabad,19.2,77.64570694202888,1016.6,0
2025-01-02 03:00:00,Kolkata,14.6,82.21115771380671,1018.5,0
2025-01-02 03:00:00,Mumbai,20.8,85.0794567259643,1014.6,0
2025-01-02 03:00:00,New_Delhi,9.0,100.0,1019.5,0
2025-01-02 06:00:00,Chennai,29.4,53.24504541596325,1015.3,0
2025-01-02 06:00:00,Hyderabad,26.2,42.89549397809908,1015.9,0
2025-01-02 06:00:00,Kolkata,20.0,60.79528448615172,1016.7,0
2025-01-02 06:00:00,Mumbai,30.6,48.77428920867762,1014.9,0
2025-01-02 06:00:00,New_Delhi,12.6,81.40867867317884,1020.8,0
2025-01-02 09:00:00,Chennai,29.0,57.98691806209805,1012.4,0
2025-01-02 09:00:00,Hyderabad,29.2,24.90360248102239,1012.2,0
2025-01-02 09:00:00,Kolkata,22.2,52.07527839165964,1014.0,0
2025-01-02 09:00:00,Mumbai,32.2,45.944408730541696,1012.2,0
2025-01-02 09:00:00,New_Delhi,15.6,68.85115991738205,1017.9,0
2025-01-02 12:00:00,Chennai,27.4,61.70335673214363,1012.7,0
2025-01-02 12:00:00,Hyderabad,26.6,28.983678748077875,1012.5,0
2025-01-02 12:00:00,Kolkata,20.2,62.45824686119664,1014.2,0
2025-01-02 12:00:00,Mumbai,29.6,52.30674462542291,1011.6,0
2025-01-02 12:00:00,New_Delhi,13.8,79.9521193895084,1017.3,0
2025-01-02 15:00:00,Chennai,25.4,77.59744380650201,1014.6,0
2025-01-02 15:00:00,Hyderabad,21.0,48.09227761649968,1016.0,0
2025-01-02 15:00:00,Kolkata,16.8,83.56210204241829,1016.2,0
2025-01-02 15:00:00,Mumbai,26.4,67.92169298232594,1013.5,0
2025-01-02 15:00:00,New_Delhi,10.8,92.29740685931507,1018.9,0
2025-01-02 18:00:00,Chennai,25.4,79.03718283041701,1014.9,0
2025-01-02 18:00:00,Hyderabad,16.6,65.46653260667351,1017.2,0
2025-01-02 18:00:00,Kolkata,16.2,82.94991283505945,1016.4,0
2025-01-02 18:00:00,Mumbai,23.2,79.71231483560945,1014.3,0
2025-01-02 18:00:00,New_Delhi,9.6,100.0,1019.0,0
2025-01-02 21:00:00,Chennai,24.0,84.88741479671322,1013.3,0
2025-01-02 21:00:00,Hyderabad,15.0,74.97803395049729,1016.3,0
2025-01-02 21:00:00,Kolkata,15.8,85.09530172182048,1015.4,0
2025-01-02 21:00:00,Mumbai,20.8,81.92785507473593,1013.4,0
2025-01-02 21:00:00,New_Delhi,9.6,100.0,1018.2,0
2025-01-03 00:00:00,Chennai,23.2,89.62675163391533,1013.5,0
2025-01-03 00:00:00,Hyderabad,14.8,76.96710286217073,1016.3,0
2025-01-03 00:00:00,Kolkata,13.7,88.30318788545544,1016.1,0
2025-01-03 00:00:00,Mumbai,18.6,82.70406260968356,1013.2,0
2025-01-03 00:00:00,New_Delhi,9.6,100.0,1018.4,0
2025-01-03 03:00:00,Chennai,24.2,81.33784349698335,1016.0,0
2025-01-03 03:00:00,Hyderabad,19.4,52.03262799781299,1017.4,0
2025-01-03 03:00:00,Kolkata,15.0,78.5453271453219,1018.3,0
2025-01-03 03:00:00,Mumbai,18.4,84.28418395334555,1015.4,0
2025-01-03 03:00:00,New_Delhi,9.8,100.0,1020.2,0
2025-01-03 06:00:00,Chennai,27.0,69.73535987777385,1016.0,0
2025-01-03 06:00:00,Hyderabad,27.4,26.904965528002045,1015.4,0
2025-01-03 06:00:00,Kolkata,19.4,63.5175342376094,1016.8,0
2025-01-03 06:00:00,Mumbai,31.6,33.92774314269257,1015.4,0
2025-01-03 06:00:00,New_Delhi,12.6,93.01469484053408,1020.6,0
2025-01-03 09:00:00,Chennai,29.0,59.0735624167008,1013.3,0
2025-01-03 09:00:00,Hyderabad,30.0,21.44733079592624,1011.8,0
2025-01-03 09:00:00,Kolkata,22.2,60.5167917252445,1013.7,0
2025-01-03 09:00:00,Mumbai,29.8,23.892435854638773,1008.4,0
2025-01-03 09:00:00,New_Delhi,20.0,60.79528448615172,1017.1,0
2025-01-03 12:00:00,Chennai,26.6,69.23176807489104,1012.9,0
2025-01-03 12:00:00,Hyderabad,27.0,33.76306714415767,1012.3,0
2025-01-03 12:00:00,Kolkata,20.4,70.24697078102471,1014.2,0
2025-01-03 12:00:00,Mumbai,31.4,42.133189091390015,1010.9,0
2025-01-03 12:00:00,New_Delhi,17.8,74.46723613296626,1016.4,0
2025-01-03 15:00:00,Chennai,24.8,75.61833422287444,1013.9,0
2025-01-03 15:00:00,Hyderabad,20.4,56.261960294450695,1015.1,0
2025-01-03 15:00:00,Kolkata,17.0,83.58530465643025,1015.7,0
2025-01-03 15:00:00,Mumbai,27.0,50.98677157890719,1012.3,0
2025-01-03 15:00:00,New_Delhi,11.6,92.343939837859,1017.3,0
