DateTime,Location,Temperature_C,Humidity_Percent,Pressure_hPa,Pressure_Missing,Temperature_Diff,Humidity_Diff,Pressure_Diff,Temperature_Deviation,Humidity_Deviation,Pressure_Deviation,Temperature_LocalZ,Humidity_LocalZ,Pressure_LocalZ,IF_Anomaly,IF_Score_Raw,IF_Score,ECOD_Anomaly,ECOD_Score,COPOD_Anomaly,COPOD_Score,HBOS_Anomaly,HBOS_Score,Model_Agreement,Ensemble_Score,Ensemble_Anomaly,Anomaly_Severity
2025-01-01 12:00:00,Chennai,30.0,58.58138510397075,1012.5,0,0.0,0.0,0.0,3.0500000000000007,-18.40804969621468,-1.4750000000000227,1.019882136682015,-1.1488009680553473,-0.9923788213187332,0,-0.15898875796817957,0.10483154347651803,0,0.08830747267771799,0,0.11362127214392982,0,0.17418079175741855,0,0.12023527001389608,0,Normal
2025-01-01 12:00:00,Hyderabad,27.0,50.98677157890719,1012.1,0,-1.6000000000000014,1.8117072459324248,0.2000000000000454,3.049999999999997,-16.887578115443695,-2.7749999999999773,0.6284096297801371,-0.7564984655805267,-1.3205548483828904,0,-0.13826062258992355,0.17069452660485354,0,0.11522182083949539,0,0.14933125615935927,0,0.21581150746732763,0,0.16276477776775894,0,Normal
2025-01-01 12:00:00,Kolkata,21.4,61.92008126297963,1013.4,0,-1.8000000000000007,6.061720659780946,0.2999999999999545,2.674999999999997,-9.679832534003062,-2.325000000000045,0.6960583979963874,-0.6946065630161574,-1.2215704878490183,0,-0.12713679859838972,0.2060401193707866,0,0.12862584745616987,0,0.15100256945753301,0,0.2677298426141654,0,0.18834959472466373,0,Normal
2025-01-01 12:00:00,Mumbai,29.4,54.5893740362844,1011.3,0,-3.6000000000000014,7.857444640631265,-0.8000000000000682,2.3999999999999986,-12.387815246122273,-2.550000000000068,0.4335775457889867,-0.5701406264947761,-1.635824713321971,0,-0.13924702583681792,0.16756026203052574,0,0.14191259630683292,0,0.15233382941504275,0,0.20146057753648441,0,0.16581681632222145,0,Normal
2025-01-01 12:00:00,New_Delhi,13.0,83.66887270865111,1017.8,0,-1.8000000000000007,13.57812174477047,-0.1000000000000227,0.9499999999999992,3.2195314406178426,-1.75,0.4194350612188267,0.2987965796628388,-1.3435055086261414,0,-0.08141849317648131,0.35130856362351753,0,0.186189794507452,0,0.18399241735140665,0,0.322498610319872,0,0.26099734645056205,0,Normal
2025-01-01 15:00:00,Chennai,26.0,84.07244076824206,1014.3,0,-4.0,25.491055664271308,1.7999999999999543,-2.4499999999999997,16.117650560669205,0.4249999999999545,-0.9884708554597846,1.2900824607744852,0.2668875433957725,0,-0.1312466215410975,0.19298128922536212,0,0.18558177834229328,0,0.11156810548302105,0,0.27629906678977917,0,0.19160755996011392,0,Normal
2025-01-01 15:00:00,Hyderabad,23.0,63.085678507414855,1015.3,0,-4.0,12.098906928507668,3.199999999999932,-2.950000000000003,4.651067905208464,1.1499999999999773,-0.8132966068902088,0.2562741484812019,0.4590216125912549,0,-0.1224055667211531,0.2210734564085967,0,0.19347972178647804,0,0.14443887384958715,0,0.35648995827757096,0,0.2288705025805582,0,Normal
2025-01-01 15:00:00,Kolkata,19.2,72.79689586933766,1015.5,0,-2.1999999999999997,10.876814606358032,2.1000000000000227,-1.125,7.391245856441969,0.375,-0.3726097291193314,0.745476953550385,0.1686777243962066,0,-0.1427556010718795,0.15641187712786017,0,0.12268064143795818,0,0.09476030450907262,0,0.19889730948831585,0,0.1431875331408017,0,Normal
2025-01-01 15:00:00,Mumbai,26.4,66.25782759838835,1013.4,0,-3.0,11.668453562103949,2.1000000000000227,-2.450000000000003,7.06722823451328,-0.0249999999999772,-0.5525065305667906,0.3919543343064384,-0.0123228426931673,0,-0.15831551949403266,0.10697073706315384,0,0.10240460321072298,0,0.05985398547588587,0,0.08628359892778516,0,0.08887823116938696,0,Normal
2025-01-01 15:00:00,New_Delhi,10.2,94.78062882988873,1019.6,0,-2.8000000000000007,11.11175612123762,1.8000000000000682,-2.5000000000000018,16.48256524338079,0.3999999999999772,-1.256296637761202,2.017016626911105,0.2523101209676012,0,-0.08274837077140051,0.3470829203614228,0,0.29465408841305524,0,0.2558947617101419,0,0.2986854227131178,0,0.29907929829943447,0,Normal
2025-01-01 18:00:00,Chennai,25.6,85.05359376201457,1014.2,0,-0.3999999999999986,0.9811529937725112,-0.099999999999909,-3.1499999999999986,17.323402816704416,0.6000000000000227,-1.6640513338861238,1.4332141892974983,0.4574953621608869,0,-0.17751404699232598,0.045968033750273134,0,0.1002207910552814,0,0.08117260130638326,0,0.04627007888901233,0,0.06840787625023753,0,Normal
2025-01-01 18:00:00,Hyderabad,20.4,73.47887549588208,1015.8,0,-2.6000000000000014,10.393196988467224,0.5,-6.150000000000006,20.67151222336078,2.0,-2.503089285476464,2.968902276519427,0.9549100651920008,0,-0.1225900671632637,0.22048721219105613,0,0.29722625232789057,0,0.26066492719413514,0,0.34642165998669183,0,0.28120001292494345,0,Normal
2025-01-01 18:00:00,Kolkata,17.2,81.47133555590639,1016.2,0,-2.0,8.674439686568732,0.7000000000000455,-3.899999999999999,17.6728490838844,1.6000000000001364,-2.3362635621846115,2.514297681569596,0.996115870028928,0,-0.130086667543449,0.19666700572530893,0,0.25740964615123485,0,0.2337550115657969,0,0.23797055720818025,0,0.23145055516263024,0,Normal
2025-01-01 18:00:00,Mumbai,23.4,77.78185620897757,1014.4,0,-3.0,11.524028610589228,1.0,-6.400000000000002,23.47569387784968,1.3500000000000227,-2.346352980126916,2.7289130335567537,0.7542797689571532,0,-0.1310425729947744,0.19362964691497556,0,0.2723529303255329,0,0.2211806286671381,0,0.3021895786329579,0,0.24733819613515115,0,Normal
2025-01-01 18:00:00,New_Delhi,8.4,100.0,1019.6,0,-1.799999999999999,5.219371170111273,0.0,-4.35,19.70454604174239,0.5500000000000682,-2.2894724792250107,1.7418375319808657,0.3705290769447523,0,-0.06714300176903054,0.39666847818215817,0,0.3452178869511457,0,0.35107514202039025,0,0.3476403291534503,0,0.36015045907678606,0,Normal
2025-01-01 21:00:00,Chennai,24.4,89.71497940989825,1012.3,0,-1.2000000000000028,4.661385647883677,-1.900000000000091,-3.500000000000004,18.14277822534872,-1.0750000000000457,-1.4401132103265115,1.2090469952088814,-1.063105527989745,0,-0.1501968335631058,0.132767600347529,0,0.1517183609353827,0,0.13791932334411228,0,0.21604566793153396,0,0.1596127381396395,0,Normal
2025-01-01 21:00:00,Hyderabad,17.4,84.1728000475239,1014.6,0,-3.0,10.693924551641828,-1.1999999999999318,-7.350000000000001,24.991202568729182,0.8250000000000455,-1.9674167736733037,2.2005234196456995,0.4002228266290018,0,-0.11256609322990846,0.2523380667905497,0,0.2773274295303671,0,0.2426808759585232,0,0.3168966176308818,0,0.27231074747758044,0,Normal
2025-01-01 21:00:00,Kolkata,16.4,84.60810750294789,1014.9,0,-0.8000000000000007,3.1367719470414954,-1.3000000000000682,-3.8500000000000014,16.596439180092304,0.349999999999909,-1.475322640240881,1.4577146721555276,0.228314676632568,0,-0.14876830696895305,0.1373066976301413,0,0.15113795574995112,0,0.15085698950990328,0,0.17518125648744828,0,0.15362072484436098,0,Normal
2025-01-01 21:00:00,Mumbai,21.8,82.05179279343892,1013.2,0,-1.599999999999998,4.269936584461348,-1.1999999999999318,-6.2499999999999964,20.711545983613064,0.3999999999999772,-1.5207754283626198,1.5248237887284484,0.2912138908557852,0,-0.1566004566577061,0.11242029403447246,0,0.15999431703515676,0,0.13736352553753722,0,0.2330145596924455,0,0.160698174074903,0,Normal
2025-01-01 21:00:00,New_Delhi,10.0,94.77258174880322,1017.9,0,1.5999999999999996,-5.227418251196781,-1.7000000000000457,-1.6000000000000014,7.637518623198105,-0.8249999999999318,-0.5610293019333794,0.5765276656746436,-0.8158716842711289,0,-0.06671374151779746,0.39803243881675954,0,0.2238674157095489,0,0.2696062256508966,0,0.42268692630390625,0,0.3285482516202778,0,Normal
